排名,推荐层级,老药新用类型,药物,原适应症领域,原领域英文,候选靶点,拟新用细分病种,拟新用病种英文,拟新用病种大类,优先级分数,ConPLEx分数,药物内靶点排名,OpenTargets病种分数,实验类型,风险等级,文献状态,PubMed总窗计数,上市后PubMed计数,是否同原适应症领域,是否同已知靶点家族
103,第一轮候补,同领域新靶点/新病种探索,Apalutamide,肿瘤,Oncology,PTPN11,急性髓系白血病,acute myeloid leukemia,血液肿瘤/血液病,66.16684053810636,0.45049638,18,0.6434226431750978,酶/表观遗传生化,medium,PubMed pair审计未见明确报道,0,0,是,否
104,第一轮候补,跨大领域老药新用,Netupitant,肿瘤,Oncology,MAP2K1,黑色素瘤,melanoma,实体瘤,66.12632434073458,0.3217322,43,0.7309105929215368,激酶生化/细胞,medium,PubMed pair审计未见明确报道,0,0,否,否
105,第一轮候补,跨大领域老药新用,Rilpivirine Hydrochloride,感染性疾病,Infectious Disease,AKT2,乳腺癌,breast cancer,实体瘤,66.10214926762771,0.39727473,17,0.5731553422649348,激酶生化/细胞,medium,PubMed pair审计未见明确报道,0,0,否,否
106,第一轮候补,跨大领域老药新用,Rilpivirine Hydrochloride,感染性疾病,Infectious Disease,PTPN11,急性髓系白血病,acute myeloid leukemia,血液肿瘤/血液病,66.01401020477303,0.38293573,23,0.6434226431750978,酶/表观遗传生化,medium,PubMed pair审计未见明确报道,0,0,否,否
107,第一轮候补,跨大领域老药新用,Doravirine,未知,,NR3C1,浆细胞骨髓瘤,plasma cell myeloma,血液肿瘤/血液病,65.98825333951291,0.51468325,10,0.6217001484227961,核受体/转录因子 reporter,medium,PubMed pair审计未见明确报道,0,0,否,否
108,第一轮候补,跨大领域老药新用,Rilpivirine Hydrochloride,感染性疾病,Infectious Disease,CDK4,乳腺癌,breast cancer,实体瘤,65.82133631738378,0.36350212,46,0.6307216615133534,激酶生化/细胞,medium,PubMed pair审计未见明确报道,0,0,否,否
109,第一轮候补,跨领域但同靶点家族扩展,Infigratinib Phosphate,肿瘤,Oncology,EGFR,非小细胞肺癌,non-small cell lung carcinoma,实体瘤,65.80184773333333,0.49575388,9,0.8525670184292347,激酶生化/细胞,medium,上市后文献有新靶点线索,5,4,否,是
110,第一轮候补,跨大领域老药新用,Dasabuvir Sodium,感染性疾病,Infectious Disease,BRAF,黑色素瘤,melanoma,实体瘤,65.58819206666666,0.27688983,2,0.819548256089721,激酶生化/细胞,medium,PubMed pair审计未见明确报道,0,0,否,否
111,第一轮候补,跨大领域老药新用,Maraviroc,感染性疾病,Infectious Disease,SCN4A,波动性肌强直,myotonia fluctuans,实体瘤,65.48077137322173,0.6193163,29,0.5547009499209655,离子通道功能,medium,PubMed pair审计未见明确报道,0,0,否,否
112,第一轮候补,跨大领域老药新用,Doravirine,未知,,BRAF,黑色素瘤,melanoma,实体瘤,65.22575173333334,0.39769468,31,0.819548256089721,激酶生化/细胞,medium,上市后文献有新靶点线索,2,2,否,否
113,第一轮候补,跨大领域老药新用,Emtricitabine,感染性疾病,Infectious Disease,MAP2K1,肝细胞癌,hepatocellular carcinoma,实体瘤,65.09977198534006,0.5244312,24,0.315545421570669,激酶生化/细胞,medium,PubMed pair审计未见明确报道,0,0,否,否
114,第一轮候补,同领域同靶点家族扩展,Selpercatinib,肿瘤,Oncology,AKT1,乳腺癌,breast carcinoma,实体瘤,65.0647187928846,0.5719569,20,0.6250986130170937,激酶生化/细胞,中,PubMed pair审计未见明确报道,0,0,是,是
115,第一轮候补,同领域同靶点家族扩展,Tucatinib,肿瘤,Oncology,PDGFRA,胃肠道间质瘤,gastrointestinal stromal tumor,实体瘤,65.05527453333333,0.43689874,5,0.8245011238749937,酶/表观遗传生化,medium,PubMed pair审计未见明确报道,0,0,是,是
116,第一轮候补,跨大领域老药新用,Emtricitabine,感染性疾病,Infectious Disease,JAK1,浆细胞骨髓瘤,plasma cell myeloma,血液肿瘤/血液病,64.91990997732191,0.5116364,31,0.3075515545476405,激酶生化/细胞,medium,PubMed pair审计未见明确报道,0,0,否,否
117,第一轮候补,跨大领域老药新用,Ulipristal Acetate,内分泌/代谢,Endocrinology/Metabolic,RAF1,扩张型心肌病,dilated cardiomyopathy,心血管,64.82840170528435,0.3130472,30,0.6912384757904153,激酶生化/细胞,medium,PubMed pair审计未见明确报道,0,0,否,否
118,第一轮候补,同领域同靶点家族扩展,Larotrectinib Sulfate,肿瘤,Oncology,CDK6,乳腺癌,breast carcinoma,实体瘤,64.73219757559252,0.5180267,10,0.6103198922485568,激酶生化/细胞,medium,PubMed pair审计未见明确报道,0,0,是,是
119,第一轮候补,跨大领域老药新用,Abiraterone Acetate,肿瘤,Oncology,KCNJ2,心律失常,cardiac arrhythmia,心血管,64.7046079290238,0.53880787,43,0.5202047968455021,离子通道功能,medium,PubMed pair审计未见明确报道,0,0,否,否
120,第一轮候补,跨大领域老药新用,Infigratinib Phosphate,肿瘤,Oncology,SLC12A3,慢性肾病,chronic kidney disease,肾脏,64.48940442151365,0.40706992,12,0.6144951772524586,转运体摄取/外排,medium,PubMed pair审计未见明确报道,0,0,否,否
121,第一轮候补,跨领域但同靶点家族扩展,Fostamatinib Disodium,免疫/炎症,Immunology/Inflammation,RET,非小细胞肺癌,non-small cell lung carcinoma,实体瘤,64.26532912427038,0.37978193,6,0.7055780321897952,激酶生化/细胞,中,PubMed pair审计未见明确报道,0,0,否,是
122,第一轮候补,跨大领域老药新用,Fludarabine Phosphate,肿瘤,Oncology,KCNK3,肺动脉高压,pulmonary arterial hypertension,心血管,64.26503418496569,0.54970104,15,0.5006681859984753,离子通道功能,medium,PubMed pair审计未见明确报道,0,0,否,否
123,第一轮候补,跨大领域老药新用,Lubiprostone,胃肠/消化,Gastroenterology,JAK3,皮炎,dermatitis,皮肤/免疫,64.18657411761757,0.44664273,33,0.3856257800422626,激酶生化/细胞,medium,PubMed pair审计未见明确报道,0,0,否,否
124,第一轮候补,跨大领域老药新用,Rilpivirine Hydrochloride,感染性疾病,Infectious Disease,PRKCB,弥漫大B细胞淋巴瘤,diffuse large B-cell lymphoma,血液肿瘤/血液病,63.86805343787859,0.45179585,8,0.3607813527946042,激酶生化/细胞,medium,PubMed pair审计未见明确报道,0,0,否,否
125,第一轮候补,跨大领域老药新用,Obeticholic Acid,其他,Other,BCL2,B细胞慢性淋巴细胞白血病,B-cell chronic lymphocytic leukemia,血液肿瘤/血液病,63.68696554314289,0.52599865,5,0.7416429130285728,离子通道功能,medium,上市后文献有新靶点线索,3,3,否,否
126,第一轮候补,同领域新靶点/新病种探索,Cyclobenzaprine Hydrochloride,神经/精神,Neurology/Psychiatry,SCN2A,双相障碍,bipolar disorder,神经/精神,63.67216550808544,0.44876504,4,0.7139169025815748,离子通道功能,中,PubMed pair审计未见明确报道,0,0,是,否
127,第一轮候补,跨大领域老药新用,Netupitant,肿瘤,Oncology,PTPN11,急性髓系白血病,acute myeloid leukemia,血液肿瘤/血液病,63.54111647143969,0.32994515,33,0.6434226431750978,酶/表观遗传生化,medium,PubMed pair审计未见明确报道,0,0,否,否
128,第一轮候补,跨大领域老药新用,Givinostat Hydrochloride,肿瘤,Oncology,KDR,肝细胞癌,hepatocellular carcinoma,实体瘤,63.531797990242,0.31317872,8,0.6777833062329777,酶/表观遗传生化,medium,PubMed pair审计未见明确报道,0,0,否,否
129,第一轮候补,跨大领域老药新用,Atazanavir Sulfate,感染性疾病,Infectious Disease,MMP3,乳腺癌,breast cancer,实体瘤,63.43198348556351,0.5120554,3,0.2858659326917113,酶/表观遗传生化,medium,PubMed pair审计未见明确报道,0,0,否,否
130,第一轮候补,跨大领域老药新用,Obeticholic Acid,其他,Other,RAF1,扩张型心肌病,dilated cardiomyopathy,心血管,63.36496023861767,0.28168774,90,0.6912384757904153,激酶生化/细胞,中,PubMed pair审计未见明确报道,0,0,否,否
131,第一轮候补,跨大领域老药新用,Lopinavir,感染性疾病,Infectious Disease,KLK3,前列腺癌,prostate cancer,实体瘤,63.269194079302224,0.33410957,3,0.6226998879689877,酶/表观遗传生化,medium,PubMed pair审计未见明确报道,0,0,否,否
132,第一轮候补,同领域新靶点/新病种探索,Bicalutamide,肿瘤,Oncology,AKT1,乳腺癌,breast carcinoma,实体瘤,63.064718792884605,0.50478417,63,0.6250986130170937,激酶生化/细胞,medium,上市后文献有新靶点线索,2,1,是,否
133,第一轮候补,同领域新靶点/新病种探索,Bicalutamide,肿瘤,Oncology,DNMT3A,急性髓系白血病,acute myeloid leukemia,血液肿瘤/血液病,63.0,0.5402651,32,0.8577261614555013,酶/表观遗传生化,中高,上市后文献有新靶点线索,3,3,是,否
134,第一轮候补,同领域同靶点家族扩展,Pazopanib Hydrochloride,肿瘤,Oncology,EGFR,非小细胞肺癌,non-small cell lung carcinoma,实体瘤,63.0,0.5651659,12,0.8525670184292347,激酶生化/细胞,medium,上市后文献有新靶点线索,58,56,是,是
135,第一轮候补,跨领域但同靶点家族扩展,Fostamatinib Disodium,免疫/炎症,Immunology/Inflammation,FLT3,急性髓系白血病,acute myeloid leukemia,血液肿瘤/血液病,62.947933199999994,0.30602714,14,0.8354100756215777,激酶生化/细胞,medium,PubMed pair审计未见明确报道,0,0,否,是
136,第一轮候补,同领域新靶点/新病种探索,Bicalutamide,肿瘤,Oncology,CDK6,乳腺癌,breast carcinoma,实体瘤,62.73219757559252,0.54905325,19,0.6103198922485568,激酶生化/细胞,medium,上市后文献有新靶点线索,2,2,是,否
137,第一轮候补,跨大领域老药新用,Doravirine And Islatravir,感染性疾病,Infectious Disease,RAF1,急性髓系白血病,acute myeloid leukemia,血液肿瘤/血液病,62.63169118813735,0.37818822,36,0.4584995965098081,激酶生化/细胞,medium,PubMed pair审计未见明确报道,0,0,否,否
138,第一轮候补,跨领域但同靶点家族扩展,Infigratinib Phosphate,肿瘤,Oncology,KDR,肝细胞癌,hepatocellular carcinoma,实体瘤,62.25012439024199,0.5896098,7,0.6777833062329777,酶/表观遗传生化,medium,上市前或窗口外报道,1,0,否,是
139,第一轮候补,跨领域但同靶点家族扩展,Fostamatinib Disodium,免疫/炎症,Immunology/Inflammation,PDGFRA,胃肠道间质瘤,gastrointestinal stromal tumor,实体瘤,61.98111133333333,0.3067381,13,0.8245011238749937,酶/表观遗传生化,medium,PubMed pair审计未见明确报道,0,0,否,是
140,第一轮候补,跨大领域老药新用,Doravirine,未知,,FTO,乳腺癌,breast cancer,实体瘤,61.910332033335294,0.32721317,57,0.5766096637037913,酶/表观遗传生化,中,PubMed pair审计未见明确报道,0,0,否,否
141,第一轮候补,跨大领域老药新用,Atazanavir Sulfate,感染性疾病,Infectious Disease,KLK3,前列腺癌,prostate cancer,实体瘤,61.877684145968885,0.3042915,78,0.6226998879689877,酶/表观遗传生化,中,PubMed pair审计未见明确报道,0,0,否,否
142,第一轮候补,跨大领域老药新用,Ozanimod Hydrochloride,神经/精神,Neurology/Psychiatry,NR3C1,银屑病,psoriasis,皮肤/免疫,60.96707087626924,0.39856422,13,0.6089218048712254,核受体/转录因子 reporter,medium,PubMed pair审计未见明确报道,0,0,否,否
143,第一轮候补,同领域同靶点家族扩展,Selpercatinib,肿瘤,Oncology,AKT2,乳腺癌,breast cancer,实体瘤,60.89599520096104,0.56475073,22,0.5731553422649348,激酶生化/细胞,中高,PubMed pair审计未见明确报道,0,0,是,是
144,第一轮候补,同领域同靶点家族扩展,Cabozantinib S-Malate,肿瘤,Oncology,RET,非小细胞肺癌,non-small cell lung carcinoma,实体瘤,60.8755057242704,0.6910026,3,0.7055780321897952,激酶生化/细胞,medium,上市后文献有新靶点线索,228,224,是,是
145,第一轮候补,跨大领域老药新用,Cobicistat,未知,,SLC34A2,肺鳞癌,squamous cell lung carcinoma,实体瘤,60.846983677136194,0.44692403,69,0.3699494345393864,转运体摄取/外排,medium,PubMed pair审计未见明确报道,0,0,否,否
146,第一轮候补,同领域同靶点家族扩展,Bosutinib Monohydrate,肿瘤,Oncology,RET,非小细胞肺癌,non-small cell lung carcinoma,实体瘤,60.68228099093706,0.49585947,23,0.7055780321897952,激酶生化/细胞,medium,上市后文献有新靶点线索,1,1,是,是
147,第一轮候补,跨大领域老药新用,Tecovirimat,感染性疾病,Infectious Disease,NTRK2,乳腺癌,breast carcinoma,实体瘤,60.611652978300015,0.42824835,31,0.3093361471837043,酶/表观遗传生化,medium,PubMed pair审计未见明确报道,0,0,否,否
148,第一轮候补,同领域新靶点/新病种探索,Apalutamide,肿瘤,Oncology,CDK6,乳腺癌,breast carcinoma,实体瘤,60.55444250892586,0.45333382,8,0.6103198922485568,激酶生化/细胞,medium,上市后文献有新靶点线索,1,1,是,否
149,第一轮候补,跨大领域老药新用,Lubiprostone,胃肠/消化,Gastroenterology,AKT1,精神分裂症,schizophrenia,神经/精神,60.531125164775204,0.4990404,5,0.1144847332492684,激酶生化/细胞,medium,PubMed pair审计未见明确报道,0,0,否,否
150,第一轮候补,同领域同靶点家族扩展,Bosutinib Monohydrate,肿瘤,Oncology,PDGFRA,胃肠道间质瘤,gastrointestinal stromal tumor,实体瘤,60.50512806666666,0.46796703,24,0.8245011238749937,酶/表观遗传生化,medium,上市后文献有新靶点线索,1,1,是,是
151,第一轮候补,跨大领域老药新用,Conivaptan Hydrochloride,胃肠/消化,Gastroenterology,KDR,肝细胞癌,hepatocellular carcinoma,实体瘤,60.369066390242,0.2454059,29,0.6777833062329777,酶/表观遗传生化,中,PubMed pair审计未见明确报道,0,0,否,否
152,第一轮候补,跨大领域老药新用,Fosamprenavir Calcium,感染性疾病,Infectious Disease,KLK3,前列腺癌,prostate cancer,实体瘤,60.33743074596889,0.27128607,37,0.6226998879689877,酶/表观遗传生化,中,PubMed pair审计未见明确报道,0,0,否,否
153,第一轮候补,同领域新靶点/新病种探索,Abiraterone Acetate,肿瘤,Oncology,SLC34A2,肺鳞癌,squamous cell lung carcinoma,实体瘤,60.32386227713619,0.5505531,37,0.3699494345393864,转运体摄取/外排,中,PubMed pair审计未见明确报道,0,0,是,否
154,第一轮候补,跨大领域老药新用,Rolapitant Hydrochloride,胃肠/消化,Gastroenterology,CDK4,乳腺癌,breast cancer,实体瘤,60.26861058405045,0.24451514,12,0.6307216615133534,激酶生化/细胞,medium,PubMed pair审计未见明确报道,0,0,否,否
155,第一轮候补,跨大领域老药新用,Maraviroc,感染性疾病,Infectious Disease,TYR,黑色素瘤,melanoma,实体瘤,60.10922460174167,0.29896694,95,0.5551452178551856,酶/表观遗传生化,中,PubMed pair审计未见明确报道,0,0,否,否
156,第一轮候补,同领域同靶点家族扩展,Regorafenib,肿瘤,Oncology,EGFR,非小细胞肺癌,non-small cell lung carcinoma,实体瘤,60.06087360000001,0.43701872,4,0.8525670184292347,激酶生化/细胞,medium,上市后文献有新靶点线索,173,173,是,是
157,第一轮候补,同领域同靶点家族扩展,Larotrectinib Sulfate,肿瘤,Oncology,TOP2A,小细胞肺癌,small cell lung carcinoma,实体瘤,60.04521782936581,0.5060046,25,0.5797874590829253,酶/表观遗传生化,中高,PubMed pair审计未见明确报道,0,0,是,是
158,第一轮候补,跨大领域老药新用,Rilpivirine Hydrochloride,感染性疾病,Infectious Disease,FGFR1,乳腺癌,breast carcinoma,实体瘤,60.03585477194626,0.40368992,14,0.334681118753167,酶/表观遗传生化,medium,PubMed pair审计未见明确报道,0,0,否,否
159,第一轮候补,同领域同靶点家族扩展,Larotrectinib Sulfate,肿瘤,Oncology,AKT2,乳腺癌,breast cancer,实体瘤,59.85716720096103,0.4777394,41,0.5731553422649348,激酶生化/细胞,中高,PubMed pair审计未见明确报道,0,0,是,是
160,第一轮候补,跨大领域老药新用,Nevirapine,感染性疾病,Infectious Disease,SLC34A2,肺鳞癌,squamous cell lung carcinoma,实体瘤,59.833970277136196,0.4252166,69,0.3699494345393864,转运体摄取/外排,中,PubMed pair审计未见明确报道,0,0,否,否
161,第一轮候补,跨大领域老药新用,Ulipristal Acetate,内分泌/代谢,Endocrinology/Metabolic,FTO,心律失常,cardiac arrhythmia,心血管,59.727466899252775,0.38424885,12,0.3612972103371606,酶/表观遗传生化,medium,PubMed pair审计未见明确报道,0,0,否,否
162,第一轮候补,同领域同靶点家族扩展,Afatinib Dimaleate,肿瘤,Oncology,RET,非小细胞肺癌,non-small cell lung carcinoma,实体瘤,59.69561372427039,0.4747166,8,0.7055780321897952,激酶生化/细胞,medium,上市后文献有新靶点线索,23,23,是,是
163,第一轮候补,同领域同靶点家族扩展,Regorafenib,肿瘤,Oncology,PDGFRA,胃肠道间质瘤,gastrointestinal stromal tumor,实体瘤,59.67141546666667,0.45010176,3,0.8245011238749937,酶/表观遗传生化,medium,上市后文献有新靶点线索,99,98,是,是
164,第一轮候补,同领域新靶点/新病种探索,Enzalutamide,肿瘤,Oncology,AKT3,乳腺癌,breast carcinoma,实体瘤,59.529121087773284,0.51494265,12,0.2012942705677015,激酶生化/细胞,中,PubMed pair审计未见明确报道,0,0,是,否
165,第一轮候补,跨大领域老药新用,Atazanavir Sulfate,感染性疾病,Infectious Disease,MMP2,黑色素瘤,melanoma,实体瘤,59.452470936226085,0.5884728,1,0.108998708276715,酶/表观遗传生化,medium,PubMed pair审计未见明确报道,0,0,否,否
166,第一轮候补,跨大领域老药新用,Ozanimod Hydrochloride,神经/精神,Neurology/Psychiatry,RARA,银屑病,psoriasis,皮肤/免疫,59.441315151747006,0.26694703,57,0.5918720185961631,酶/表观遗传生化,medium,PubMed pair审计未见明确报道,0,0,否,否
